ftc.delta_t,ftc.goal_count,config.dummy,action.delta,state.value,reward,terminal,time,simulator,predict,sim_id,statistics.episode_reward,statistics.episode_count,statistics.episode_rate,statistics.iteration_count,statistics.iteration_rate
,,,,,,,,,,,,,,,
-4436820.0,,,,,,,,,,,,,,,
441.0,3,,1,1,3,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,11,9,17,7,65
436.0,3,,-1,0,3,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,14,9,17,8,67
439.0,3,,0,0,3,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,17,9,17,9,68
437.0,3,,-1,-1,3,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,20,9,17,10,70
433.0,,,,,,,,,,,,,,,
239.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,10,18,0,70
364.0,1,,-1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,10,18,1,72
544.0,1,,-1,0,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,10,18,2,74
438.0,2,,1,1,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,4,10,18,3,72
2371.0,2,,1,2,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,6,10,18,4,74
471.0,2,,0,2,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,8,10,18,5,75
440.0,2,,0,2,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,10,10,18,6,77
440.0,2,,1,3,2,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,12,10,18,7,79
542.0,,,,,,,,,,,,,,,
238.0,,-1,,0,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,11,19,0,79
370.0,1,,1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,11,19,1,80
470.0,1,,-1,0,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,11,19,2,82
447.0,1,,0,0,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,3,11,19,3,84
452.0,1,,0,0,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,4,11,19,4,85
437.0,1,,-1,-1,1,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,5,11,19,5,84
2424.0,,,,,,,,,,,,,,,
269.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,12,20,0,84
377.0,0,,1,3,0,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,12,20,1,85
430.0,,,,,,,,,,,,,,,
344.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,13,21,0,85
381.0,0,,1,3,0,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,13,21,1,87
420.0,,,,,,,,,,,,,,,
244.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,14,23,0,87
353.0,0,,0,2,0,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,14,23,1,88
425.0,0,,1,3,0,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,14,23,2,90
432.0,,,,,,,,,,,,,,,
270.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,15,24,0,90
428.0,0,,1,3,0,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,15,24,1,92
427.0,,,,,,,,,,,,,,,
219.0,,-1,,0,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,16,26,0,92
2624.0,0,,0,0,0,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,16,26,1,88
516.0,1,,1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,16,26,2,89
425.0,1,,1,2,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,16,26,3,90
419.0,1,,1,3,1,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,3,16,26,4,92
418.0,,,,,,,,,,,,,,,
229.0,,-1,,0,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,17,26,0,92
348.0,1,,1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,17,26,1,93
419.0,1,,1,2,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,17,26,2,95
419.0,1,,0,2,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,3,17,26,3,96
420.0,1,,1,3,1,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,4,17,26,4,98
439.0,,,,,,,,,,,,,,,
226.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,18,27,0,98
3030.0,0,,0,2,0,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,18,27,1,95
